1;arms_factory;3218.00;9.70;1153.00;1.63;0
1;arms_factory;3221.00;9.70;1154.00;5.76;0
1;arms_factory;3217.00;9.73;1155.00;2.14;0
1;arms_factory;3227.00;9.70;1154.00;3.69;0
1;arms_factory;3217.00;9.75;1153.00;1.53;0
1;arms_factory;3226.00;9.70;1154.00;4.20;0
1;industrial_complex;3220.00;9.70;1154.00;0.58;0
1;industrial_complex;3234.00;9.80;1168.00;2.14;0
1;industrial_complex;3219.00;9.68;1156.00;6.26;0
1;industrial_complex;3225.00;9.70;1154.00;1.19;0
1;industrial_complex;3219.00;9.50;1152.00;5.31;0
1;industrial_complex;3224.00;9.80;1155.00;0.58;0
1;air_base;3218.00;9.68;1154.00;3.25;0
1;naval_base;3206.00;9.50;1144.00;-1.11;3691
1;naval_base;3234.00;9.50;1150.00;-0.24;3691
1;naval_base;3220.00;9.50;1151.00;0.32;3691
1;naval_base;3230.00;9.50;1168.00;-1.57;3692
1;naval_base;3229.00;9.50;1151.00;0.00;3691
1;naval_base;3224.00;9.50;1153.00;0.79;3691
1;bunker;3221.00;9.70;1154.00;3.76;0
1;bunker;3233.00;9.50;1167.00;0.14;0
1;bunker;3236.00;9.78;1156.00;4.27;0
1;bunker;3217.00;9.50;1151.00;4.37;0
1;bunker;3217.00;9.73;1155.00;2.21;0
1;bunker;3230.00;9.70;1154.00;0.05;0
1;coastal_bunker;3214.00;9.50;1148.00;-1.11;0
1;coastal_bunker;3235.00;9.50;1163.00;-1.57;0
1;coastal_bunker;3220.00;9.60;1158.00;-3.73;0
1;coastal_bunker;3234.00;9.50;1150.00;-0.24;0
1;coastal_bunker;3225.00;9.65;1156.00;-3.93;0
1;coastal_bunker;3231.00;9.80;1155.00;-3.46;0
1;dockyard;3219.00;9.50;1151.00;0.32;0
1;anti_air_building;3218.00;9.70;1156.00;1.77;0
1;anti_air_building;3224.00;9.80;1155.00;3.32;0
1;anti_air_building;3217.00;9.73;1154.00;5.99;0
1;synthetic_refinery;3234.00;9.80;1154.00;3.83;0
1;fuel_silo;3220.00;9.78;1155.00;0.21;0
1;radar_station;3222.00;9.65;1156.00;1.87;0
1;rocket_site;3236.00;9.50;1161.00;4.44;0
1;nuclear_reactor;3222.00;9.80;1155.00;2.27;0
2;arms_factory;3213.00;9.62;1168.00;2.14;0
2;arms_factory;3212.00;9.70;1166.00;3.69;0
2;arms_factory;3210.00;9.68;1161.00;1.53;0
2;arms_factory;3210.00;9.55;1172.00;4.20;0
2;arms_factory;3211.00;9.70;1170.00;0.58;0
