0;0;0;0;land;false;unknown;2
1;57;35;244;land;false;ocean;2
2;58;35;248;land;false;ocean;2
3;54;35;232;land;false;ocean;2
4;84;38;248;land;false;ocean;2
5;87;38;240;land;false;ocean;2
6;86;38;236;land;false;ocean;2
7;119;38;248;land;false;ocean;2
8;98;38;244;land;false;ocean;2
9;101;38;236;land;false;ocean;2
10;107;38;240;land;false;ocean;2
11;58;6;248;land;false;ocean;2
12;39;40;244;land;false;ocean;2
13;28;38;232;land;false;unknown;2
14;100;35;236;land;false;ocean;2
15;110;35;236;land;false;ocean;2
16;66;38;236;land;false;ocean;2
17;62;6;244;land;false;ocean;2
18;59;37;248;land;false;ocean;2
19;58;37;244;land;false;ocean;2
20;57;37;240;land;false;ocean;2
21;48;39;232;land;false;unknown;2
22;49;39;236;land;false;ocean;2
23;50;39;240;land;false;ocean;2
24;47;39;248;land;false;forest;2
25;51;39;244;land;false;ocean;2
26;54;39;236;land;false;ocean;2
27;56;39;244;land;false;ocean;2
28;13;40;240;land;false;ocean;2
29;11;40;232;land;false;ocean;2
30;56;8;248;land;false;ocean;2
31;12;40;236;land;false;ocean;2
32;29;8;240;land;false;ocean;2
33;31;8;248;land;false;ocean;2
34;30;8;244;land;false;ocean;2
35;118;32;244;land;false;ocean;2
36;61;12;244;land;false;ocean;2
37;133;180;64;land;false;jungle;2
38;177;180;192;land;false;mountain;2
39;9;123;55;land;false;mountain;2
40;135;24;74;land;false;mountain;2
41;93;69;46;land;false;mountain;2
42;9;3;35;land;false;plains;2
43;51;126;183;land;false;plains;2
44;93;9;36;land;false;mountain;2
45;135;132;184;land;false;mountain;2
46;135;165;154;land;false;jungle;2
47;177;15;37;land;false;jungle;2
48;51;81;48;land;false;jungle;2
49;8;4;240;land;false;ocean;2
50;177;135;57;land;false;desert;2
51;135;192;194;land;false;desert;2
52;28;30;236;land;false;ocean;2
53;27;30;232;land;false;ocean;2
54;25;29;244;land;false;ocean;2
55;26;29;248;land;false;ocean;2
56;43;4;240;land;false;ocean;2
57;44;4;244;land;false;ocean;2
58;38;4;240;land;false;ocean;2
59;65;30;244;land;false;ocean;2
60;66;30;248;land;false;ocean;2
61;43;30;236;land;false;ocean;2
62;42;30;232;land;false;ocean;2
63;40;30;244;land;false;ocean;2
64;41;30;248;land;false;ocean;2
65;0;29;244;land;false;ocean;2
66;1;29;248;land;false;ocean;2
67;2;2;248;land;false;ocean;2
68;93;66;131;land;false;desert;2
69;135;96;44;land;false;desert;2
70;9;57;165;land;false;desert;2
71;9;9;65;land;false;desert;2
72;135;0;99;land;false;desert;2
73;135;153;89;land;false;desert;2
74;51;201;68;land;false;desert;2
75;51;21;38;land;false;desert;2
76;93;210;226;land;false;desert;2
77;104;38;248;land;false;ocean;2
78;2;29;232;land;false;ocean;2
79;97;38;240;land;false;ocean;2
80;56;37;236;land;false;ocean;2
81;51;6;163;land;false;plains;2
82;135;12;164;land;false;jungle;2
83;123;36;248;land;false;ocean;2
84;51;159;153;land;false;plains;2
85;93;114;76;land;false;desert;2
86;93;27;26;land;false;desert;2
87;83;38;244;land;false;ocean;2
88;65;38;232;land;false;ocean;2
89;61;35;240;land;false;ocean;2
90;67;6;244;land;false;ocean;2
91;51;66;173;land;false;jungle;2
92;9;4;244;land;false;ocean;2
93;177;153;152;land;false;mountain;2
94;59;35;232;land;false;ocean;2
95;177;0;162;land;false;hills;2
96;9;78;175;land;false;jungle;2
97;30;30;244;land;false;ocean;2
98;131;120;194;land;false;plains;2
99;102;38;240;land;false;ocean;2
100;55;37;232;land;false;ocean;2
101;44;32;236;land;false;ocean;2
102;173;123;67;land;false;plains;2
103;51;99;143;land;false;forest;2
104;177;156;217;land;false;desert;2
105;99;38;248;land;false;ocean;2
106;9;156;25;land;false;mountain;2
107;45;30;244;land;false;ocean;2
108;49;30;240;land;false;ocean;2
109;44;30;240;land;false;ocean;2
110;48;30;236;land;false;ocean;2
111;7;186;65;land;false;plains;2
112;99;30;240;land;false;ocean;2
113;14;40;244;land;false;ocean;2
114;133;165;189;land;false;jungle;2
115;55;8;244;land;false;ocean;2
116;32;8;232;land;false;ocean;2
117;68;30;236;land;false;ocean;2
118;5;111;215;land;false;desert;2
